date,home_team,away_team,team,scorer,minute,own_goal,penalty
2004-09-04,Italy,Norway,Norway,John Carew,1.0,False,False
1997-12-19,Brazil,Czech Republic,Brazil,Romário,54.0,False,False
1938-06-05,Czechoslovakia,Netherlands,Czechoslovakia,Josef Košťálek,93.0,False,False
1995-03-29,San Marino,Finland,Finland,Jari Litmanen,45.0,False,False
2004-06-02,Australia,Fiji,Australia,Tim Cahill,39.0,False,False
2009-03-28,Cyprus,Georgia,Cyprus,Demetris Christofi,56.0,False,False
2015-10-08,Hungary,Faroe Islands,Hungary,Dániel Böde,71.0,False,False
2009-09-09,Slovenia,Poland,Slovenia,Valter Birsa,62.0,False,False
1985-11-13,Switzerland,Norway,Norway,Tom Sundby,40.0,False,False
2001-02-25,Tunisia,DR Congo,Tunisia,Ziad Jaziri,64.0,False,False
2019-11-17,Albania,France,France,Corentin Tolisso,9.0,False,False
2021-07-24,Mexico,Honduras,Mexico,Orbelín Pineda,38.0,False,False
2019-11-18,Italy,Armenia,Italy,Nicolò Zaniolo,9.0,False,False
2021-07-13,Honduras,Grenada,Honduras,Romell Quioto,88.0,False,False
1983-10-26,Hungary,Denmark,Hungary,Sándor Kiss,57.0,False,False
2007-11-17,Israel,Russia,Israel,Elyaniv Barda,10.0,False,False
2011-11-11,Dominican Republic,Cayman Islands,Dominican Republic,Erick Ozuna,38.0,False,False
1954-06-17,Germany,Turkey,Germany,Ottmar Walter,60.0,False,False
2011-09-02,Canada,Saint Lucia,Canada,Will Johnson,90.0,False,False
1999-07-17,Chile,Mexico,Mexico,Francisco Palencia,26.0,False,False
1992-09-26,Australia,Solomon Islands,Australia,Ian Gray,60.0,False,False
1997-09-10,Norway,Switzerland,Norway,Jahn Ivar Jakobsen,46.0,False,False
1991-07-09,Bolivia,Brazil,Brazil,Branco,47.0,False,False
2005-03-30,United States,Guatemala,United States,Eddie Johnson,11.0,False,False
1954-03-07,Japan,South Korea,South Korea,Sung Nak-woon,65.0,False,False
1985-04-19,Algeria,Angola,Angola,Osvaldo Fernando Saturnino de Oliveira,78.0,False,False
2016-06-12,Ecuador,Haiti,Ecuador,Jaime Ayoví,20.0,False,False
